,0,1
0,5.651,2.6239999999999997
1,5.612,2.562
2,5.5440000000000005,2.457
3,5.529,2.4330000000000003
4,5.517,2.414
5,5.48,2.3569999999999998
6,5.49,2.371
7,5.502000000000001,2.39
8,5.4830000000000005,2.3609999999999998
9,5.471,2.342
10,5.4830000000000005,2.3609999999999998
11,5.477,2.351
12,5.474,2.346
13,5.486000000000001,2.365
14,5.517,2.412
15,5.557,2.474
16,5.596,2.536
17,5.648,2.616
18,5.688,2.678
19,5.7490000000000006,2.773
20,5.843,2.9210000000000003
21,5.965,3.111
22,6.148,3.397
23,6.38,3.839
24,6.587999999999999,4.266
25,6.811,4.7250000000000005
26,7.0329999999999995,5.183
27,7.232,5.5920000000000005
28,7.421,6.0680000000000005
29,7.598,6.526
30,7.744,6.905
31,7.866,7.221
32,7.957999999999999,7.457999999999999
33,8.022,7.622999999999999
34,8.113999999999999,7.859
35,8.19,8.057
36,8.236,8.175
37,8.288,8.31
38,8.312000000000001,8.372
39,8.363999999999999,8.505
40,8.437000000000001,8.693
41,8.511000000000001,8.88
42,8.596,9.097999999999999
43,8.703,9.371
44,8.801,9.621
45,8.846,9.738
46,8.874,9.808
47,8.868,9.793
48,8.812999999999999,9.652
49,8.801,9.621
50,8.816,9.661
51,8.8,9.622
52,8.794,9.607000000000001
53,8.81,9.646
54,8.828,9.693999999999999
55,8.831,9.702
56,8.825000000000003,9.687000000000001
57,8.797,9.617
58,8.715,9.406
59,8.654,9.251
60,8.629,9.187999999999999
61,8.584,9.071
62,8.538,8.954
63,8.529,8.93
64,8.571,9.039
65,8.613999999999999,9.149
66,8.635,9.203
67,8.677999999999999,9.312000000000001
68,8.742,9.476
69,8.806000000000003,9.64
70,8.904,9.89
71,9.023,10.193999999999999
72,9.139,10.491
73,9.234,10.732999999999999
74,9.273,10.834000000000001
75,9.31,10.927999999999999
76,9.353,11.023
77,9.368,11.05
78,9.371,11.056
79,9.353,11.023
80,9.322,10.960999999999999
81,9.289,10.875
82,9.206,10.665
83,9.1,10.390999999999998
84,9.011,10.165
85,8.916,9.924
86,8.846,9.744
87,8.782,9.581
88,8.684000000000001,9.331
89,8.636000000000001,9.206
90,8.607999999999999,9.136
91,8.556000000000001,9.003
92,8.538,8.957
93,8.488999999999999,8.832
94,8.431000000000001,8.684000000000001
95,8.355,8.488999999999999
96,8.275,8.286
97,8.196,8.081
98,8.123,7.892
99,8.046,7.695
100,7.982,7.53
101,7.903,7.325
102,7.8229999999999995,7.12
103,7.72,6.852
104,7.616,6.582999999999999
105,7.552,6.417000000000001
106,7.494,6.267
107,7.476,6.22
108,7.512,6.315
109,7.527,6.354
110,7.595,6.527
111,7.683,6.756
112,7.735,6.8900000000000015
113,7.808,7.08
114,7.869,7.2379999999999995
115,7.8629999999999995,7.222
116,7.876,7.254
117,7.876,7.252999999999999
118,7.894,7.3
119,7.772,6.9830000000000005
120,7.751,6.928
121,7.726,6.864
122,7.751,6.926
123,7.8389999999999995,7.155
124,7.928,7.3839999999999995
125,7.961,7.471
126,7.957999999999999,7.462000000000001
127,7.949,7.438
128,7.903,7.318
129,7.879,7.254
130,7.852,7.182
131,7.832999999999999,7.1339999999999995
132,7.824,7.109
133,7.8,7.045
