,0
0,0.001173516685203615
1,0.00017295957719678343
2,0.00013924517594432345
3,9.354236232297564e-07
4,1.752937876591508e-06
5,0.0052761320934266945
6,7.538044023953916e-07
7,1.1349395090224095e-08
8,1.5899253068276626e-08
9,1.9999704956924707e-06
